YYYYMMDD;HHMM;SLP;Q;S
20220101;1200;-9.90;2;5
20220102;1200;-9.90;2;5
20220103;1200;-9.90;2;5
20220104;1200;-9.90;2;5
20220105;1200;-9.90;2;5
20220106;1200;-9.90;2;5
20220107;1200;-9.90;2;5
20220108;1200;-9.90;2;5
20220109;1200;-9.90;2;5
20220110;1200;-9.90;2;5
20220111;1200;-9.90;2;5
20220112;1200;-9.90;2;5
20220113;1200;-9.90;2;5
20220114;1200;-9.90;2;5
20220115;1200;-9.90;2;5
20220116;1200;-9.90;2;5
20220117;1200;-9.90;2;5
20220118;1200;-9.90;2;5
20220119;1200;-9.90;2;5
20220120;1200;-9.90;2;5
20220121;1200;-9.90;2;5
20220122;1200;-9.90;2;5
20220123;1200;-9.90;2;5
20220124;1200;-9.90;2;5
20220125;1200;-9.90;2;5
20220126;1200;-9.90;2;5
20220127;1200;-9.90;2;5
20220128;1200;-9.90;2;5
20220129;1200;-9.90;2;5
20220130;1200;-9.90;2;5
20220131;1200;-9.90;2;5
20220201;1200;-9.90;2;5
20220202;1200;-9.90;2;5
20220203;1200;-9.90;2;5
20220204;1200;-9.90;2;5
20220205;1200;-9.90;2;5
20220206;1200;-9.90;2;5
20220207;1200;-9.90;2;5
20220208;1200;-9.90;2;5
20220209;1200;-9.90;2;5
20220210;1200;-9.90;2;5
20220211;1200;-9.90;2;5
20220212;1200;-9.90;2;5
20220213;1200;-9.90;2;5
20220214;1200;-9.90;2;5
20220215;1200;-9.90;2;5
20220216;1200;-9.90;2;5
20220217;1200;-9.90;2;5
20220218;1200;-9.90;2;5
20220219;1200;-9.90;2;5
20220220;1200;-9.90;2;5
20220221;1200;-9.90;2;5
20220222;1200;-9.90;2;5
20220223;1200;-9.90;2;5
20220224;1200;-9.90;2;5
20220225;1200;-9.90;2;5
20220226;1200;-9.90;2;5
20220227;1200;-9.90;2;5
20220228;1200;-9.90;2;5
20220301;1200;-9.90;2;5
20220302;1200;-9.90;2;5
20220303;1200;-9.90;2;5
20220304;1200;-9.90;2;5
20220305;1200;-9.90;2;5
20220306;1200;-9.90;2;5
20220307;1200;-9.90;2;5
20220308;1200;-9.90;2;5
20220309;1200;-9.90;2;5
20220310;1200;-9.90;2;5
20220311;1200;-9.90;2;5
20220312;1200;-9.90;2;5
20220313;1200;-9.90;2;5
20220314;1200;-9.90;2;5
20220315;1200;-9.90;2;5
20220316;1200;-9.90;2;5
20220317;1200;-9.90;2;5
20220318;1200;-9.90;2;5
20220319;1200;-9.90;2;5
20220320;1200;-9.90;2;5
20220321;1200;-9.90;2;5
20220322;1200;-9.90;2;5
20220323;1200;-9.90;2;5
20220324;1200;-9.90;2;5
20220325;1200;-9.90;2;5
20220326;1200;-9.90;2;5
20220327;1200;-9.90;2;5
20220328;1200;-9.90;2;5
20220329;1200;-9.90;2;5
20220330;1200;-9.90;2;5
20220331;1200;-9.90;2;5
20220401;1200;-9.90;2;5
20220402;1200;-9.90;2;5
20220403;1200;-9.90;2;5
20220404;1200;-9.90;2;5
20220405;1200;-9.90;2;5
20220406;1200;-9.90;2;5
20220407;1200;-9.90;2;5
20220408;1200;-9.90;2;5
20220409;1200;-9.90;2;5
20220410;1200;-9.90;2;5
20220411;1200;-9.90;2;5
20220412;1200;-9.90;2;5
20220413;1200;-9.90;2;5
20220414;1200;-9.90;2;5
20220415;1200;-9.90;2;5
20220416;1200;-9.90;2;5
20220417;1200;-9.90;2;5
20220418;1200;-9.90;2;5
20220419;1200;-9.90;2;5
20220420;1200;-9.90;2;5
20220421;1200;-9.90;2;5
20220422;1200;-9.90;2;5
20220423;1200;-9.90;2;5
20220424;1200;-9.90;2;5
20220425;1200;-9.90;2;5
20220426;1200;-9.90;2;5
20220427;1200;-9.90;2;5
20220428;1200;-9.90;2;5
20220429;1200;-9.90;2;5
20220430;1200;-9.90;2;5
20220501;1200;-9.90;2;5
20220502;1200;-9.90;2;5
20220503;1200;-9.90;2;5
20220504;1200;-9.90;2;5
20220505;1200;-9.90;2;5
20220506;1200;-9.90;2;5
20220507;1200;-9.90;2;5
20220508;1200;-9.90;2;5
20220509;1200;-9.90;2;5
20220510;1200;-9.90;2;5
20220511;1200;-9.90;2;5
20220512;1200;-9.90;2;5
20220513;1200;-9.90;2;5
20220514;1200;-9.90;2;5
20220515;1200;-9.90;2;5
20220516;1200;-9.90;2;5
20220517;1200;-9.90;2;5
20220518;1200;-9.90;2;5
20220519;1200;-9.90;2;5
20220520;1200;-9.90;2;5
20220521;1200;1019.6;2;1
20220522;1200;1020.3;2;1
20220523;1200;1019.9;2;1
20220524;1200;1020.3;2;1
20220525;1200;1022.0;2;1
20220526;1200;1021.9;2;1
20220527;1200;1020.3;2;1
20220528;1200;1018.2;2;1
20220529;1200;1016.7;2;1
20220530;1200;1015.4;2;1
20220531;1200;1014.9;2;1
20220601;1200;1015.6;2;1
20220602;1200;1014.8;2;1
20220603;1200;1015.0;2;1
20220604;1200;1015.5;2;1
20220605;1200;1017.6;2;1
20220606;1200;1017.5;2;1
20220607;1200;1015.8;2;1
20220608;1200;1015.1;2;1
20220609;1200;1016.6;2;1
20220610;1200;1016.3;2;1
20220611;1200;1014.8;2;1
20220612;1200;1015.1;2;1
20220613;1200;1015.6;2;1
20220614;1200;1017.9;2;1
20220615;1200;1019.0;2;1
20220616;1200;1018.2;2;1
20220617;1200;1016.2;2;1
20220618;1200;1016.6;2;1
20220619;1200;1018.6;2;1
20220620;1200;1019.2;2;1
20220621;1200;1019.3;2;1
20220622;1200;1018.3;2;1
20220623;1200;1019.1;2;1
20220624;1200;1018.9;2;1
20220625;1200;1017.3;2;1
20220626;1200;1015.5;2;1
20220627;1200;1017.7;2;1
20220628;1200;1019.5;2;1
20220629;1200;1019.6;2;1
20220630;1200;1018.3;2;1
20220701;1200;1019.5;2;1
20220702;1200;1022.6;2;1
20220703;1200;1023.6;2;1
20220704;1200;1022.9;2;1
20220705;1200;1021.4;2;1
20220706;1200;1020.8;2;1
20220707;1200;1021.8;2;1
20220708;1200;1023.1;2;1
20220709;1200;1023.4;2;1
20220710;1200;1021.6;2;1
20220711;1200;1019.1;2;1
20220712;1200;1019.1;2;1
20220713;1200;1019.9;2;1
20220714;1200;1020.3;2;1
20220715;1200;1019.4;2;1
20220716;1200;1019.0;2;1
20220717;1200;1021.1;2;1
20220718;1200;1022.8;2;1
20220719;1200;1021.6;2;1
20220720;1200;1019.1;2;1
20220721;1200;1018.4;2;1
20220722;1200;1018.8;2;1
20220723;1200;1019.2;2;1
20220724;1200;1019.9;2;1
20220725;1200;1020.0;2;1
20220726;1200;1020.0;2;1
20220727;1200;1019.7;2;1
20220728;1200;1018.3;2;1
20220729;1200;1016.7;2;1
20220730;1200;1016.3;2;1
20220731;1200;1018.5;2;1
20220801;1200;1019.2;2;1
20220802;1200;1018.6;2;1
20220803;1200;1018.0;2;1
20220804;1200;1017.8;2;1
20220805;1200;1017.4;2;1
20220806;1200;1017.7;2;1
20220807;1200;1018.0;2;1
20220808;1200;1018.2;2;1
20220809;1200;1019.1;2;1
20220810;1200;1017.7;2;1
20220811;1200;1014.9;2;1
20220812;1200;1019.2;2;1
20220813;1200;1022.9;2;1
20220814;1200;1022.3;2;1
20220815;1200;1021.1;2;1
20220816;1200;1020.7;2;1
20220817;1200;1020.8;2;1
20220818;1200;1020.7;2;1
20220819;1200;1021.6;2;1
20220820;1200;1021.5;2;1
20220821;1200;1021.1;2;1
20220822;1200;1020.5;2;1
20220823;1200;1021.1;2;1
20220824;1200;1021.6;2;1
20220825;1200;1022.1;2;1
20220826;1200;1022.2;2;1
20220827;1200;1020.6;2;1
20220828;1200;1019.5;2;1
20220829;1200;1018.6;2;1
20220830;1200;1019.6;2;1
20220831;1200;1021.6;2;1
20220901;1200;1021.5;2;1
20220902;1200;1021.1;2;1
20220903;1200;1020.6;2;1
20220904;1200;1019.8;2;1
20220905;1200;1021.4;2;1
20220906;1200;1023.0;2;1
20220907;1200;1022.7;2;1
20220908;1200;1020.8;2;1
20220909;1200;1020.5;2;1
20220910;1200;1019.9;2;1
20220911;1200;1018.2;2;1
20220912;1200;1018.3;2;1
20220913;1200;1017.3;2;1
20220914;1200;1016.7;2;1
20220915;1200;1017.2;2;1
20220916;1200;1017.2;2;1
20220917;1200;1016.6;2;1
20220918;1200;1017.2;2;1
20220919;1200;1017.3;2;1
20220920;1200;1016.4;2;1
20220921;1200;1015.2;2;1
20220922;1200;1014.9;2;1
20220923;1200;1013.3;2;1
20220924;1200;1015.7;2;1
20220925;1200;1017.9;2;1
20220926;1200;1018.5;2;1
20220927;1200;1018.3;2;1
20220928;1200;1017.1;2;1
20220929;1200;1016.0;2;1
20220930;1200;1016.8;2;1
20221001;1200;1018.6;2;1
20221002;1200;1018.1;2;1
20221003;1200;1017.1;2;1
20221004;1200;1015.9;2;1
20221005;1200;1015.7;2;1
20221006;1200;1016.7;2;1
20221007;1200;1015.4;2;1
20221008;1200;1015.1;2;1
20221009;1200;1017.5;2;1
20221010;1200;1020.4;2;1
20221011;1200;1021.1;2;1
20221012;1200;1018.5;2;1
20221013;1200;1018.7;2;1
20221014;1200;1019.2;2;1
20221015;1200;1019.5;2;1
20221016;1200;1017.5;2;1
20221017;1200;1017.2;2;1
20221018;1200;1019.2;2;1
20221019;1200;1019.9;2;1
20221020;1200;1017.6;2;1
20221021;1200;1015.9;2;1
20221022;1200;1016.0;2;1
20221023;1200;1016.9;2;1
20221024;1200;1016.5;2;1
20221025;1200;1014.8;2;1
20221026;1200;1014.9;2;1
20221027;1200;1016.0;2;1
20221028;1200;1016.5;2;1
20221029;1200;1015.9;2;1
20221030;1200;1014.6;2;1
20221031;1200;1014.5;2;1
20221101;1200;1014.9;2;1
20221102;1200;1015.3;2;1
20221103;1200;1013.3;2;1
20221104;1200;1011.7;2;1
20221105;1200;1011.0;2;1
20221106;1200;1014.2;2;1
20221107;1200;1015.4;2;1
20221108;1200;1015.7;2;1
20221109;1200;1016.3;2;1
20221110;1200;1016.4;2;1
20221111;1200;1015.1;2;1
20221112;1200;1014.5;2;1
20221113;1200;1014.8;2;1
20221114;1200;1015.8;2;1
20221115;1200;1017.2;2;1
20221116;1200;1015.6;2;1
20221117;1200;1014.1;2;1
20221118;1200;1013.5;2;1
20221119;1200;1015.3;2;1
20221120;1200;1015.9;2;1
20221121;1200;1015.8;2;1
20221122;1200;1015.6;2;1
20221123;1200;1014.1;2;1
20221124;1200;1013.5;2;1
20221125;1200;1013.8;2;1
20221126;1200;1014.7;2;1
20221127;1200;1013.8;2;1
20221128;1200;1010.7;2;1
20221129;1200;1008.4;2;1
20221130;1200;1009.5;2;1
20221201;1200;1013.2;2;1
20221202;1200;1016.2;2;1
20221203;1200;1016.3;2;1
20221204;1200;1015.2;2;1
20221205;1200;1016.8;2;1
20221206;1200;1018.3;2;1
20221207;1200;1015.6;2;1
20221208;1200;1011.6;2;1
20221209;1200;1011.8;2;1
20221210;1200;1014.2;2;1
20221211;1200;1013.8;2;1
20221212;1200;1011.6;2;1
20221213;1200;1009.8;2;1
20221214;1200;1008.8;2;1
20221215;1200;1011.6;2;1
20221216;1200;1011.2;2;1
20221217;1200;1010.3;2;1
20221218;1200;1013.0;2;1
20221219;1200;1014.0;2;1
20221220;1200;1013.2;2;1
20221221;1200;1011.0;2;1
20221222;1200;1010.8;2;1
20221223;1200;1013.1;2;1
20221224;1200;1015.0;2;1
20221225;1200;1016.5;2;1
20221226;1200;1016.2;2;1
20221227;1200;1016.3;2;1
20221228;1200;1016.6;2;1
20221229;1200;1016.8;2;1
20221230;1200;1016.5;2;1
20221231;1200;1017.2;2;1
